"These hex codes can be used in csv/xlsx files and markup files.  Append a ';' at the end of the hex code in your data. Ex:  ""Show me the &#x0024;&#x0024;&@#x0021;"" ==> ""Show me the $$!""",,
key,hex,name
&#xfe60,&#xFE60,small ampersand
&#xfe61,&#xFE61,small asterisk
&#xfe62,&#xFE62,small plus sign
&#xfe63,&#xFE63,small hyphen-minus
&#xfe64,&#xFE64,small less-than sign
&#xfe65,&#xFE65,small greater-than sign
&#xfe66,&#xFE66,small equals sign
&#xfe68,&#xFE68,small reverse solidus
&#xfe69,&#xFE69,small dollar sign
&#xfe6a,&#xFE6A,small percent sign
&#xfe6b,&#xFE6B,small commercial at
&#xfeff,&#xFEFF,zero width no-break space
&#xff01,&#xFF01,fullwidth exclamation mark
&#xff02,&#xFF02,fullwidth quotation mark
&#xff03,&#xFF03,fullwidth number sign
&#xff04,&#xFF04,fullwidth dollar sign
&#xff05,&#xFF05,fullwidth percent sign
&#xff06,&#xFF06,fullwidth ampersand
&#xff07,&#xFF07,fullwidth apostrophe
&#xff08,&#xFF08,fullwidth left parenthesis
&#xff09,&#xFF09,fullwidth right parenthesis
&#xff0a,&#xFF0A,fullwidth asterisk
&#xff0b,&#xFF0B,fullwidth plus sign
&#xff0c,&#xFF0C,fullwidth comma
&#xff0d,&#xFF0D,fullwidth hyphen-minus
&#xff0e,&#xFF0E,fullwidth full stop
&#xff0f,&#xFF0F,fullwidth solidus
&#xff10,&#xFF10,fullwidth digit zero
&#xff11,&#xFF11,fullwidth digit one
&#xff12,&#xFF12,fullwidth digit two
&#xff13,&#xFF13,fullwidth digit three
&#xff14,&#xFF14,fullwidth digit four
&#xff15,&#xFF15,fullwidth digit five
&#xff16,&#xFF16,fullwidth digit six
&#xff17,&#xFF17,fullwidth digit seven
&#xff18,&#xFF18,fullwidth digit eight
&#xff19,&#xFF19,fullwidth digit nine
&#xff1a,&#xFF1A,fullwidth colon
&#xff1b,&#xFF1B,fullwidth semicolon
&#xff1c,&#xFF1C,fullwidth less-than sign
&#xff1d,&#xFF1D,fullwidth equals sign
&#xff1e,&#xFF1E,fullwidth greater-than sign
&#xff1f,&#xFF1F,fullwidth question mark
&#xff20,&#xFF20,fullwidth commercial at
&#xff21,&#xFF21,fullwidth latin capital letter a
&#xff22,&#xFF22,fullwidth latin capital letter b
&#xff23,&#xFF23,fullwidth latin capital letter c
&#xff24,&#xFF24,fullwidth latin capital letter d
&#xff25,&#xFF25,fullwidth latin capital letter e
&#xff26,&#xFF26,fullwidth latin capital letter f
&#xff27,&#xFF27,fullwidth latin capital letter g
&#xff28,&#xFF28,fullwidth latin capital letter h
&#xff29,&#xFF29,fullwidth latin capital letter i
&#xff2a,&#xFF2A,fullwidth latin capital letter j
&#xff2b,&#xFF2B,fullwidth latin capital letter k
&#xff2c,&#xFF2C,fullwidth latin capital letter l
&#xff2d,&#xFF2D,fullwidth latin capital letter m
&#xff2e,&#xFF2E,fullwidth latin capital letter n
&#xff2f,&#xFF2F,fullwidth latin capital letter o
&#xff30,&#xFF30,fullwidth latin capital letter p
&#xff31,&#xFF31,fullwidth latin capital letter q
&#xff32,&#xFF32,fullwidth latin capital letter r
&#xff33,&#xFF33,fullwidth latin capital letter s
&#xff34,&#xFF34,fullwidth latin capital letter t
&#xff35,&#xFF35,fullwidth latin capital letter u
&#xff36,&#xFF36,fullwidth latin capital letter v
&#xff37,&#xFF37,fullwidth latin capital letter w
&#xff38,&#xFF38,fullwidth latin capital letter x
&#xff39,&#xFF39,fullwidth latin capital letter y
&#xff3a,&#xFF3A,fullwidth latin capital letter z
&#xff3b,&#xFF3B,fullwidth left square bracket
&#xff3c,&#xFF3C,fullwidth reverse solidus
&#xff3d,&#xFF3D,fullwidth right square bracket
&#xff3e,&#xFF3E,fullwidth circumflex accent
&#xff3f,&#xFF3F,fullwidth low line
&#xff40,&#xFF40,fullwidth grave accent
&#xff41,&#xFF41,fullwidth latin small letter a
&#xff42,&#xFF42,fullwidth latin small letter b
&#xff43,&#xFF43,fullwidth latin small letter c
&#xff44,&#xFF44,fullwidth latin small letter d
&#xff45,&#xFF45,fullwidth latin small letter e
&#xff46,&#xFF46,fullwidth latin small letter f
&#xff47,&#xFF47,fullwidth latin small letter g
&#xff48,&#xFF48,fullwidth latin small letter h
&#xff49,&#xFF49,fullwidth latin small letter i
&#xff4a,&#xFF4A,fullwidth latin small letter j
&#xff4b,&#xFF4B,fullwidth latin small letter k
&#xff4c,&#xFF4C,fullwidth latin small letter l
&#xff4d,&#xFF4D,fullwidth latin small letter m
&#xff4e,&#xFF4E,fullwidth latin small letter n
&#xff4f,&#xFF4F,fullwidth latin small letter o
&#xff50,&#xFF50,fullwidth latin small letter p
&#xff51,&#xFF51,fullwidth latin small letter q
&#xff52,&#xFF52,fullwidth latin small letter r
&#xff53,&#xFF53,fullwidth latin small letter s
&#xff54,&#xFF54,fullwidth latin small letter t
&#xff55,&#xFF55,fullwidth latin small letter u
&#xff56,&#xFF56,fullwidth latin small letter v
&#xff57,&#xFF57,fullwidth latin small letter w
&#xff58,&#xFF58,fullwidth latin small letter x
&#xff59,&#xFF59,fullwidth latin small letter y
&#xff5a,&#xFF5A,fullwidth latin small letter z
&#xff5b,&#xFF5B,fullwidth left curly bracket
&#xff5c,&#xFF5C,fullwidth vertical line
&#xff5d,&#xFF5D,fullwidth right curly bracket
&#xff5e,&#xFF5E,fullwidth tilde
&#xff5f,&#xFF5F,fullwidth left white parenthesis
&#xff60,&#xFF60,fullwidth right white parenthesis
&#xffe0,&#xFFE0,fullwidth cent sign
&#xffe1,&#xFFE1,fullwidth pound sign
&#xffe2,&#xFFE2,fullwidth not sign
&#xffe3,&#xFFE3,fullwidth macron
&#xffe4,&#xFFE4,fullwidth broken bar
&#xffe5,&#xFFE5,fullwidth yen sign
&#xffe6,&#xFFE6,fullwidth won sign
&#xfffc,&#xFFFC,object replacement character
&#xfffd,&#xFFFD,replacement character
